post_id,match_id,platform,content_type,post_date,impressions,likes,shares,comments,video_views,engagement_rate
P00036,M035,Instagram,Player Interview,2026-07-02,53832,3608,926,225,26430,0.0884
P00037,M005,Instagram,Live Score Update,2026-06-14,55730,4362,753,389,0,0.0988
P00038,M047,Instagram,Player Interview,2026-07-07,51847,2218,669,413,29446,0.0636
P00039,M008,App Push,Live Score Update,2026-06-15,38299,2239,509,302,0,0.0796
P00040,M002,App Push,Live Score Update,2026-06-13,24252,1867,152,246,0,0.0934
P00041,M024,YouTube,Player Interview,2026-06-23,44377,1814,569,553,22894,0.0662
P00042,M025,Facebook,Player Interview,2026-06-27,15825,808,150,167,8204,0.0711
P00043,M030,YouTube,Fan Poll,2026-06-25,16301,1230,98,213,0,0.0945
P00044,M040,TikTok,Meme/GIF,2026-07-02,17583,1309,113,261,0,0.0957
P00045,M021,Instagram,Behind the Scenes,2026-06-21,21598,1333,380,126,0,0.0851
P00046,M035,Instagram,Meme/GIF,2026-07-02,77288,3153,644,791,0,0.0594
P00047,M017,TikTok,Tactical Analysis,2026-06-21,26504,1996,458,185,0,0.0996
P00048,M013,TikTok,Fan Poll,2026-06-18,13134,783,142,72,0,0.0759
P00049,M038,Instagram,Meme/GIF,2026-07-02,10064,561,62,74,0,0.0693
P00050,M014,YouTube,Ticket Promo,2026-06-20,20228,1051,181,242,0,0.0729
P00051,M028,App Push,Stadium Tour,2026-06-25,17162,1122,132,178,9844,0.0834
P00052,M048,Instagram,Meme/GIF,2026-07-06,28805,1258,304,320,0,0.0653
P00053,M040,TikTok,Match Preview,2026-07-01,16525,1114,277,74,0,0.0887
P00054,M039,Facebook,Behind the Scenes,2026-07-01,11092,832,142,47,0,0.092
P00055,M029,Instagram,Match Preview,2026-06-29,31383,1402,453,213,0,0.0659
P00056,M045,TikTok,Tactical Analysis,2026-07-07,10773,608,99,92,0,0.0742
P00057,M036,App Push,Match Preview,2026-07-02,19787,1314,252,171,0,0.0878
P00058,M028,YouTube,Stadium Tour,2026-06-24,21362,1579,363,212,10688,0.1008
P00059,M011,Instagram,Stadium Tour,2026-06-18,38498,2376,597,278,19486,0.0844
P00060,M030,YouTube,Tactical Analysis,2026-06-29,15658,738,189,107,0,0.066
P00061,M014,YouTube,Ticket Promo,2026-06-21,22963,1083,196,153,0,0.0624
P00062,M043,YouTube,Highlight Reel,2026-07-03,27707,1460,195,276,15847,0.0697
P00063,M045,Instagram,Fan Poll,2026-07-07,23459,1290,202,196,0,0.072
P00064,M021,TikTok,Player Interview,2026-06-25,48756,3802,898,188,14274,0.1003
P00065,M013,Instagram,Live Score Update,2026-06-18,5998,362,48,44,0,0.0757
P00066,M039,TikTok,Player Interview,2026-07-02,37881,2927,461,557,15751,0.1041
P00067,M036,Facebook,Meme/GIF,2026-06-28,73899,4628,382,408,0,0.0733
P00068,M041,X (Twitter),Meme/GIF,2026-07-05,60134,3056,426,452,0,0.0654
P00069,M045,Facebook,Stadium Tour,2026-07-03,28127,1481,466,89,9858,0.0724
P00070,M007,YouTube,Meme/GIF,2026-06-14,41326,2300,343,467,0,0.0753
P00071,M042,TikTok,Fan Poll,2026-07-05,16820,757,84,76,0,0.0545
P00072,M015,TikTok,Stadium Tour,2026-06-20,14064,797,179,167,4978,0.0813
P00073,M003,Facebook,Behind the Scenes,2026-06-16,24174,1205,462,320,0,0.0822
P00074,M028,TikTok,Match Preview,2026-06-27,24848,1754,382,185,0,0.0934
P00075,M041,X (Twitter),Behind the Scenes,2026-07-05,15842,918,153,201,0,0.0803
P00076,M038,TikTok,Live Score Update,2026-06-29,37654,2945,450,395,0,0.1007
P00077,M048,YouTube,Match Preview,2026-07-08,22148,1665,342,245,0,0.1017
P00078,M007,TikTok,Meme/GIF,2026-06-15,55985,3916,385,572,0,0.087
P00079,M019,YouTube,Tactical Analysis,2026-06-21,5738,395,39,51,0,0.0845
P00080,M006,Facebook,Highlight Reel,2026-06-17,4859,216,28,42,2496,0.0589
P00081,M021,App Push,Fan Poll,2026-06-25,19268,1239,201,288,0,0.0897
P00082,M032,Instagram,Meme/GIF,2026-06-30,59137,4134,439,404,0,0.0842
P00083,M018,X (Twitter),Tactical Analysis,2026-06-22,19666,959,160,202,0,0.0672
P00084,M013,TikTok,Match Preview,2026-06-18,7939,466,57,33,0,0.07
P00085,M023,X (Twitter),Tactical Analysis,2026-06-22,10062,738,160,105,0,0.0997
P00086,M007,YouTube,Live Score Update,2026-06-17,42854,2982,573,359,0,0.0913
P00087,M036,Instagram,Stadium Tour,2026-06-30,27957,1618,333,365,7147,0.0828
P00088,M014,Instagram,Ticket Promo,2026-06-19,4334,196,25,62,0,0.0653
P00089,M031,App Push,Match Preview,2026-06-30,47868,3198,901,374,0,0.0934
P00090,M001,TikTok,Highlight Reel,2026-06-13,9226,647,129,135,3150,0.0987
P00091,M030,TikTok,Stadium Tour,2026-06-29,28887,2177,557,409,9372,0.1088
P00092,M044,X (Twitter),Ticket Promo,2026-07-02,12108,618,158,91,0,0.0716
P00093,M004,Instagram,Stadium Tour,2026-06-15,23232,1741,417,174,10554,0.1004
P00094,M048,Instagram,Match Preview,2026-07-07,33805,1680,658,371,0,0.0801
P00095,M012,YouTube,Live Score Update,2026-06-17,45369,2472,590,458,0,0.0776
P00096,M030,TikTok,Ticket Promo,2026-06-25,2163,107,15,19,0,0.0652
P00097,M011,TikTok,Player Interview,2026-06-17,37308,2869,734,265,8908,0.1037
P00098,M048,X (Twitter),Live Score Update,2026-07-08,59570,4010,644,420,0,0.0852
P00099,M020,Instagram,Player Interview,2026-06-21,56072,2639,325,553,21888,0.0627
P00100,M027,TikTok,Behind the Scenes,2026-06-24,39071,2440,629,135,0,0.082
P00101,M024,X (Twitter),Ticket Promo,2026-06-25,13709,1080,238,181,0,0.1093
P00102,M028,Instagram,Highlight Reel,2026-06-28,74824,3899,1240,541,42662,0.0759
P00103,M030,TikTok,Behind the Scenes,2026-06-25,11062,565,104,64,0,0.0663
P00104,M012,TikTok,Highlight Reel,2026-06-20,24176,1366,267,169,13765,0.0745
P00105,M033,YouTube,Tactical Analysis,2026-06-28,16443,942,287,140,0,0.0833
P00106,M045,YouTube,Highlight Reel,2026-07-07,38334,1620,491,209,14204,0.0605
P00107,M032,TikTok,Player Interview,2026-06-26,53103,3863,266,663,20025,0.0902
P00108,M041,X (Twitter),Fan Poll,2026-07-04,32393,1976,214,150,0,0.0722
P00109,M043,X (Twitter),Ticket Promo,2026-07-06,6389,378,69,83,0,0.083
P00110,M011,Facebook,Stadium Tour,2026-06-20,29681,2326,212,171,10338,0.0913
P00111,M015,TikTok,Fan Poll,2026-06-22,4974,338,29,25,0,0.0788
P00112,M044,YouTube,Live Score Update,2026-07-04,25156,1266,329,213,0,0.0719
P00113,M046,App Push,Tactical Analysis,2026-07-06,11871,595,114,175,0,0.0745
P00114,M003,Instagram,Player Interview,2026-06-12,12467,978,155,168,6966,0.1044
P00115,M006,X (Twitter),Stadium Tour,2026-06-16,4822,325,65,35,2883,0.0881
P00116,M017,X (Twitter),Meme/GIF,2026-06-20,49334,2247,429,177,0,0.0578
P00117,M044,Facebook,Player Interview,2026-07-06,26504,1737,158,187,8209,0.0786
P00118,M001,YouTube,Player Interview,2026-06-15,5284,378,53,30,2125,0.0872
P00119,M041,YouTube,Fan Poll,2026-07-05,27184,2141,397,113,0,0.0975
P00120,M041,Facebook,Stadium Tour,2026-07-05,32818,2445,245,137,11643,0.0861
P00121,M030,YouTube,Meme/GIF,2026-06-28,60380,3370,494,377,0,0.0702
P00122,M034,YouTube,Live Score Update,2026-06-30,30036,1693,158,357,0,0.0735
P00123,M046,TikTok,Behind the Scenes,2026-07-03,42079,2022,367,447,0,0.0674
P00124,M008,Facebook,Highlight Reel,2026-06-17,56475,3598,570,335,28432,0.0797
P00125,M002,Instagram,Fan Poll,2026-06-11,7294,446,136,55,0,0.0873
P00126,M031,Facebook,Fan Poll,2026-06-27,12091,847,89,102,0,0.0858
P00127,M006,Instagram,Player Interview,2026-06-14,18037,1013,139,114,6051,0.0702
P00128,M031,YouTube,Meme/GIF,2026-06-30,78799,3654,1446,1162,0,0.0795
P00129,M021,Instagram,Stadium Tour,2026-06-21,8181,470,57,87,4050,0.0751
P00130,M014,Facebook,Stadium Tour,2026-06-17,31049,1281,547,316,14115,0.0691
P00131,M034,Instagram,Ticket Promo,2026-06-30,10720,475,70,137,0,0.0636
P00132,M026,Instagram,Live Score Update,2026-06-27,26036,1821,360,304,0,0.0954
P00133,M017,Instagram,Live Score Update,2026-06-22,64872,3877,416,666,0,0.0764
P00134,M032,Facebook,Match Preview,2026-06-30,39102,3045,590,533,0,0.1066
P00135,M014,Instagram,Live Score Update,2026-06-20,20277,1310,192,112,0,0.0796
P00136,M008,App Push,Player Interview,2026-06-17,32912,1613,610,252,18232,0.0752
P00137,M002,TikTok,Fan Poll,2026-06-15,7179,509,43,58,0,0.085
P00138,M032,Instagram,Fan Poll,2026-06-30,10982,706,58,61,0,0.0751
P00139,M046,YouTube,Behind the Scenes,2026-07-06,43550,2987,225,279,0,0.0802
P00140,M007,TikTok,Match Preview,2026-06-15,12715,660,226,131,0,0.08
P00141,M020,X (Twitter),Behind the Scenes,2026-06-22,13062,945,115,146,0,0.0923
P00142,M017,Instagram,Stadium Tour,2026-06-19,14930,719,191,184,6584,0.0733
P00143,M036,Instagram,Ticket Promo,2026-07-02,18302,804,310,252,0,0.0746
P00144,M002,Instagram,Meme/GIF,2026-06-13,10600,620,104,50,0,0.073
P00145,M038,X (Twitter),Behind the Scenes,2026-07-01,27090,1173,146,232,0,0.0573
P00146,M047,Instagram,Stadium Tour,2026-07-08,8029,489,69,60,4150,0.077
P00147,M026,Instagram,Player Interview,2026-06-27,39473,2072,396,425,15121,0.0733
P00148,M048,Instagram,Behind the Scenes,2026-07-06,47815,2959,730,379,0,0.0851
P00149,M043,X (Twitter),Live Score Update,2026-07-06,51840,2652,353,206,0,0.0619
P00150,M048,TikTok,Stadium Tour,2026-07-05,26512,1316,272,144,6480,0.0653
P00151,M026,X (Twitter),Behind the Scenes,2026-06-25,6939,423,69,74,0,0.0816
P00152,M018,X (Twitter),Highlight Reel,2026-06-20,10565,623,210,128,3328,0.091
P00153,M020,YouTube,Highlight Reel,2026-06-24,32489,2173,603,349,11253,0.0962
P00154,M023,YouTube,Live Score Update,2026-06-24,52369,3900,555,589,0,0.0963
P00155,M014,Instagram,Meme/GIF,2026-06-21,50892,2102,900,724,0,0.0732
P00156,M025,TikTok,Stadium Tour,2026-06-23,4304,226,49,55,1563,0.0767
P00157,M002,App Push,Highlight Reel,2026-06-14,28606,1418,558,382,14240,0.0824
P00158,M041,X (Twitter),Live Score Update,2026-07-05,53378,3334,961,371,0,0.0874
P00159,M023,TikTok,Behind the Scenes,2026-06-24,52545,2400,969,694,0,0.0773
P00160,M019,TikTok,Live Score Update,2026-06-24,19165,1261,346,162,0,0.0923
P00161,M035,YouTube,Ticket Promo,2026-07-02,2345,112,15,27,0,0.0657
P00162,M002,TikTok,Behind the Scenes,2026-06-15,22913,1695,372,140,0,0.0963
P00163,M044,TikTok,Live Score Update,2026-07-06,60946,3386,383,207,0,0.0652
P00164,M015,YouTube,Highlight Reel,2026-06-21,18961,984,255,124,8724,0.0719
P00165,M044,YouTube,Live Score Update,2026-07-02,33017,1668,476,155,0,0.0696
P00166,M042,TikTok,Player Interview,2026-07-02,24142,1862,480,78,9596,0.1002
P00167,M006,TikTok,Behind the Scenes,2026-06-14,25750,1916,346,236,0,0.097
P00168,M004,TikTok,Fan Poll,2026-06-16,14185,708,192,112,0,0.0713
P00169,M037,TikTok,Meme/GIF,2026-07-03,17585,1306,182,119,0,0.0914
P00170,M036,Facebook,Player Interview,2026-07-01,46990,2221,236,238,10567,0.0574
P00171,M021,TikTok,Meme/GIF,2026-06-25,40208,2623,224,160,0,0.0748
P00172,M032,TikTok,Player Interview,2026-06-27,18549,908,308,120,3996,0.072
P00173,M018,Instagram,Ticket Promo,2026-06-23,17542,739,205,244,0,0.0677
P00174,M003,TikTok,Ticket Promo,2026-06-16,8520,342,45,106,0,0.0579
P00175,M043,Instagram,Behind the Scenes,2026-07-02,37832,1666,404,554,0,0.0694
P00176,M008,X (Twitter),Match Preview,2026-06-18,9866,607,105,42,0,0.0764
P00177,M048,X (Twitter),Meme/GIF,2026-07-07,50212,2420,496,405,0,0.0661
P00178,M047,TikTok,Fan Poll,2026-07-04,16643,1036,235,69,0,0.0805
P00179,M024,X (Twitter),Stadium Tour,2026-06-23,14019,1099,85,125,3707,0.0934
P00180,M029,X (Twitter),Player Interview,2026-06-29,35908,2221,223,513,17429,0.0823
P00181,M045,TikTok,Tactical Analysis,2026-07-03,15994,913,96,210,0,0.0762
P00182,M046,TikTok,Highlight Reel,2026-07-07,41854,2093,496,218,12873,0.0671
P00183,M047,Instagram,Highlight Reel,2026-07-04,38387,3055,533,147,14739,0.0973
P00184,M042,X (Twitter),Match Preview,2026-07-05,33462,2656,636,106,0,0.1015
P00185,M020,TikTok,Player Interview,2026-06-23,11893,495,70,98,3495,0.0557
P00186,M030,Facebook,Player Interview,2026-06-25,36217,1703,572,325,14099,0.0718
P00187,M019,TikTok,Player Interview,2026-06-22,9281,699,71,34,4018,0.0866
P00188,M003,App Push,Stadium Tour,2026-06-12,17106,1033,245,86,5159,0.0797
P00189,M030,Instagram,Highlight Reel,2026-06-27,64408,4201,624,852,29864,0.0881
P00190,M017,Facebook,Ticket Promo,2026-06-22,3127,195,48,29,0,0.087
P00191,M004,Instagram,Tactical Analysis,2026-06-15,21152,1223,109,143,0,0.0697
P00192,M048,X (Twitter),Ticket Promo,2026-07-07,18172,746,312,269,0,0.073
P00193,M026,Instagram,Stadium Tour,2026-06-23,20573,859,143,240,6662,0.0604
P00194,M034,Instagram,Player Interview,2026-06-30,19994,1309,190,214,4215,0.0857
P00195,M009,Facebook,Meme/GIF,2026-06-19,57299,3897,519,829,0,0.0915
P00196,M028,Facebook,Tactical Analysis,2026-06-25,28609,2208,196,104,0,0.0877
P00197,M043,YouTube,Ticket Promo,2026-07-03,16892,925,283,244,0,0.086
P00198,M028,YouTube,Tactical Analysis,2026-06-25,17273,916,200,154,0,0.0735
P00199,M024,Instagram,Meme/GIF,2026-06-26,15580,714,292,151,0,0.0743
P00200,M022,TikTok,Player Interview,2026-06-22,8074,420,50,29,3395,0.0618
P00201,M035,Instagram,Live Score Update,2026-07-01,57630,3381,774,252,0,0.0765
P00202,M044,X (Twitter),Player Interview,2026-07-04,40787,2664,408,212,14355,0.0805
P00203,M003,Instagram,Match Preview,2026-06-16,10812,738,111,145,0,0.0919
P00204,M018,X (Twitter),Highlight Reel,2026-06-20,26746,1803,476,321,10223,0.0972
P00205,M045,TikTok,Highlight Reel,2026-07-05,53183,3459,1028,674,12787,0.097
P00206,M017,YouTube,Player Interview,2026-06-19,37328,1561,659,345,7945,0.0687
P00207,M046,X (Twitter),Player Interview,2026-07-05,15849,807,288,204,4086,0.082
P00208,M036,X (Twitter),Highlight Reel,2026-06-29,46890,2494,267,627,17235,0.0723
P00209,M008,X (Twitter),Behind the Scenes,2026-06-15,45126,3593,493,321,0,0.0977
P00210,M037,Instagram,Live Score Update,2026-06-30,12028,487,202,105,0,0.066
P00211,M024,Facebook,Live Score Update,2026-06-23,48267,2599,523,630,0,0.0777
P00212,M029,App Push,Highlight Reel,2026-06-25,49051,2241,661,439,21474,0.0681
P00213,M005,YouTube,Tactical Analysis,2026-06-13,11835,525,100,51,0,0.0571
P00214,M036,Facebook,Player Interview,2026-06-29,11438,514,146,153,6289,0.0711
P00215,M031,Facebook,Live Score Update,2026-06-30,69825,5435,861,994,0,0.1044
P00216,M005,YouTube,Ticket Promo,2026-06-14,18219,739,183,224,0,0.0629
P00217,M005,Instagram,Highlight Reel,2026-06-15,10272,468,123,118,4146,0.069
P00218,M037,Instagram,Fan Poll,2026-06-29,19090,1515,228,138,0,0.0985
P00219,M036,YouTube,Meme/GIF,2026-07-01,69090,4395,1281,750,0,0.093
P00220,M019,Instagram,Player Interview,2026-06-21,26668,1422,204,340,11649,0.0737
P00221,M042,Facebook,Stadium Tour,2026-07-02,13317,592,156,110,7812,0.0644
P00222,M036,Facebook,Stadium Tour,2026-06-29,32719,1472,591,257,8732,0.0709
P00223,M041,Instagram,Ticket Promo,2026-07-05,16677,1119,216,106,0,0.0864
P00224,M009,YouTube,Fan Poll,2026-06-16,23324,1286,241,135,0,0.0713
P00225,M039,X (Twitter),Player Interview,2026-07-01,9926,465,55,112,4037,0.0637
P00226,M034,YouTube,Behind the Scenes,2026-07-01,6461,269,112,38,0,0.0649
P00227,M029,TikTok,Highlight Reel,2026-06-29,63641,4649,661,512,12826,0.0915
P00228,M042,Instagram,Tactical Analysis,2026-07-05,13246,639,186,177,0,0.0756
P00229,M005,YouTube,Behind the Scenes,2026-06-17,19224,1335,257,118,0,0.089
P00230,M037,Instagram,Ticket Promo,2026-06-30,5592,229,110,72,0,0.0735
P00231,M018,Instagram,Behind the Scenes,2026-06-19,33722,2675,532,235,0,0.1021
P00232,M017,TikTok,Fan Poll,2026-06-21,22494,1469,283,231,0,0.0882
P00233,M022,YouTube,Player Interview,2026-06-22,28753,1290,173,381,6643,0.0641
P00234,M006,Instagram,Ticket Promo,2026-06-17,3377,175,38,14,0,0.0672
P00235,M014,TikTok,Ticket Promo,2026-06-19,3144,196,39,17,0,0.0802
P00236,M041,Instagram,Behind the Scenes,2026-07-01,16429,866,117,201,0,0.0721
P00237,M005,X (Twitter),Highlight Reel,2026-06-14,86490,5128,1171,1048,21274,0.0849
P00238,M008,TikTok,Live Score Update,2026-06-18,28716,1359,162,362,0,0.0656
P00239,M047,TikTok,Fan Poll,2026-07-06,15876,727,237,101,0,0.0671
P00240,M029,TikTok,Highlight Reel,2026-06-28,49711,3759,958,442,20699,0.1038
P00241,M046,YouTube,Meme/GIF,2026-07-03,56978,4172,861,525,0,0.0975
P00242,M025,X (Twitter),Match Preview,2026-06-27,48262,2587,681,689,0,0.082
P00243,M022,App Push,Player Interview,2026-06-21,33774,1476,645,387,13539,0.0743
P00244,M028,X (Twitter),Meme/GIF,2026-06-27,58748,4327,1009,706,0,0.1028
P00245,M013,App Push,Highlight Reel,2026-06-20,11433,755,138,52,6476,0.0827
P00246,M032,Instagram,Behind the Scenes,2026-06-30,31207,1544,403,388,0,0.0748
P00247,M018,Instagram,Highlight Reel,2026-06-20,67341,5027,970,937,14929,0.103
P00248,M034,TikTok,Fan Poll,2026-06-27,16355,1238,117,71,0,0.0872
P00249,M026,YouTube,Tactical Analysis,2026-06-27,5193,376,43,42,0,0.0888
P00250,M005,TikTok,Highlight Reel,2026-06-14,24728,1172,474,311,8092,0.0791
P00251,M044,X (Twitter),Ticket Promo,2026-07-06,19576,810,267,102,0,0.0602
P00252,M011,Instagram,Live Score Update,2026-06-17,48094,2425,338,604,0,0.07
P00253,M013,App Push,Meme/GIF,2026-06-17,32725,1909,584,275,0,0.0846
P00254,M042,YouTube,Behind the Scenes,2026-07-01,13021,790,228,125,0,0.0878
P00255,M041,Instagram,Behind the Scenes,2026-07-02,35659,2091,468,225,0,0.0781
P00256,M036,Instagram,Tactical Analysis,2026-07-02,24758,1507,191,200,0,0.0767
P00257,M023,TikTok,Fan Poll,2026-06-24,21674,1458,397,98,0,0.0901
P00258,M030,YouTube,Behind the Scenes,2026-06-25,36252,1584,335,191,0,0.0582
P00259,M010,Instagram,Fan Poll,2026-06-16,38124,2507,325,504,0,0.0875
P00260,M034,Facebook,Tactical Analysis,2026-06-30,15142,785,187,84,0,0.0697
P00261,M028,YouTube,Behind the Scenes,2026-06-28,15355,835,226,169,0,0.0801
P00262,M038,YouTube,Match Preview,2026-07-03,17625,1167,330,167,0,0.0944
P00263,M020,TikTok,Fan Poll,2026-06-23,18565,810,200,123,0,0.061
P00264,M023,TikTok,Behind the Scenes,2026-06-25,39263,2238,380,507,0,0.0796
P00265,M005,Facebook,Highlight Reel,2026-06-16,69566,3677,560,412,29660,0.0668
P00266,M012,Instagram,Ticket Promo,2026-06-20,3549,167,61,14,0,0.0682
P00267,M029,YouTube,Player Interview,2026-06-25,10586,498,109,102,4718,0.067
P00268,M004,YouTube,Stadium Tour,2026-06-14,24242,1368,328,339,6165,0.0839
P00269,M014,App Push,Tactical Analysis,2026-06-20,6739,361,85,36,0,0.0715
P00270,M040,App Push,Highlight Reel,2026-06-30,54079,3346,846,355,14575,0.0841
P00271,M017,X (Twitter),Behind the Scenes,2026-06-22,15967,984,174,94,0,0.0784
P00272,M043,Instagram,Highlight Reel,2026-07-03,69249,5330,1288,291,21119,0.0998
P00273,M021,Instagram,Ticket Promo,2026-06-25,21064,1417,418,195,0,0.0964
P00274,M026,TikTok,Live Score Update,2026-06-27,29438,1304,558,335,0,0.0746
P00275,M044,X (Twitter),Ticket Promo,2026-07-06,15359,781,183,65,0,0.067
P00276,M040,Facebook,Fan Poll,2026-07-04,5125,385,84,72,0,0.1056
P00277,M015,TikTok,Tactical Analysis,2026-06-22,24399,1827,246,361,0,0.0998
P00278,M047,Instagram,Live Score Update,2026-07-04,39077,2849,216,580,0,0.0933
P00279,M014,TikTok,Tactical Analysis,2026-06-19,18341,744,359,215,0,0.0719
P00280,M022,App Push,Ticket Promo,2026-06-22,16176,855,299,102,0,0.0776
P00281,M022,TikTok,Behind the Scenes,2026-06-25,41624,2176,392,263,0,0.068
P00282,M022,Instagram,Stadium Tour,2026-06-24,7978,628,78,71,2610,0.0974
P00283,M018,YouTube,Stadium Tour,2026-06-20,26965,2022,411,221,10705,0.0984
P00284,M012,Instagram,Ticket Promo,2026-06-20,6909,532,79,50,0,0.0957
P00285,M019,Instagram,Behind the Scenes,2026-06-22,43552,1883,294,142,0,0.0532
P00286,M040,YouTube,Ticket Promo,2026-06-30,4194,254,50,58,0,0.0863
P00287,M034,TikTok,Stadium Tour,2026-06-30,4519,270,78,28,1796,0.0832
P00288,M003,TikTok,Behind the Scenes,2026-06-12,43152,1868,853,567,0,0.0762
P00289,M013,Instagram,Live Score Update,2026-06-19,30928,2268,371,388,0,0.0979
P00290,M028,Instagram,Live Score Update,2026-06-28,21176,1067,250,93,0,0.0666
P00291,M040,Instagram,Tactical Analysis,2026-07-01,5152,292,32,66,0,0.0757
P00292,M022,Instagram,Fan Poll,2026-06-22,18858,1060,189,230,0,0.0784
P00293,M002,TikTok,Live Score Update,2026-06-13,26092,2073,386,156,0,0.1002
P00294,M047,Facebook,Player Interview,2026-07-07,24876,1553,449,307,9194,0.0928
P00295,M037,Instagram,Highlight Reel,2026-06-29,34801,2068,416,402,15668,0.0829
P00296,M008,YouTube,Live Score Update,2026-06-18,8712,356,114,78,0,0.0629
P00297,M036,Facebook,Ticket Promo,2026-06-29,15336,801,217,229,0,0.0813
P00298,M008,X (Twitter),Match Preview,2026-06-14,30461,1847,537,427,0,0.0923
P00299,M030,Facebook,Behind the Scenes,2026-06-29,33525,1497,636,424,0,0.0763
P00300,M006,YouTube,Highlight Reel,2026-06-17,9123,600,61,126,4393,0.0863
P00301,M044,Instagram,Tactical Analysis,2026-07-06,20501,1332,328,152,0,0.0884
P00302,M047,Instagram,Player Interview,2026-07-07,58177,3413,578,449,19787,0.0763
P00303,M031,Facebook,Behind the Scenes,2026-06-30,48624,3763,925,345,0,0.1035
P00304,M020,Instagram,Ticket Promo,2026-06-22,10703,681,202,32,0,0.0855
P00305,M042,Instagram,Player Interview,2026-07-01,13959,610,260,96,3751,0.0692
P00306,M043,TikTok,Match Preview,2026-07-04,39326,2078,643,573,0,0.0838
P00307,M001,App Push,Meme/GIF,2026-06-15,54474,2512,634,798,0,0.0724
P00308,M024,X (Twitter),Tactical Analysis,2026-06-26,19547,1380,369,119,0,0.0956
P00309,M031,X (Twitter),Meme/GIF,2026-06-30,22462,1574,212,98,0,0.0839
P00310,M035,YouTube,Player Interview,2026-06-30,45674,2455,266,483,26635,0.0701
P00311,M018,Instagram,Fan Poll,2026-06-19,25508,1208,427,328,0,0.077
P00312,M002,YouTube,Highlight Reel,2026-06-11,10486,769,179,61,5657,0.0962
P00313,M006,TikTok,Behind the Scenes,2026-06-16,14219,1123,279,63,0,0.103
P00314,M023,TikTok,Match Preview,2026-06-26,21392,1007,236,265,0,0.0705
P00315,M043,X (Twitter),Meme/GIF,2026-07-06,45729,2202,619,670,0,0.0763
P00316,M006,TikTok,Live Score Update,2026-06-17,33683,2417,296,456,0,0.0941
P00317,M008,X (Twitter),Fan Poll,2026-06-14,22556,1181,228,209,0,0.0717
P00318,M006,TikTok,Behind the Scenes,2026-06-15,24186,1868,183,147,0,0.0909
